experiment_id,run_number,soaking_duration_hr,air_drying_time_min,plate_contact_frequency_hz,throughput_rate_pecans_sec,crush_amount_in,entry_exit_height_diff_in,reps,rep
1,0,34,19,53,28,0.05,-0.09,3,1
2,1,24,27,34,29,0.03,0.01,3,3
3,12,28,59,37,23,0.06,-0.08,3,1
4,15,16,60,30,24,0.07,0.02,3,1
5,4,13,41,41,38,0.05,0.03,3,2
6,18,18,49,38,35,0.07,-0.08,3,1
7,11,24,59,42,25,0.07,-0.05,3,1
8,16,20,59,41,14,0.07,0.04,3,1
9,4,13,41,41,38,0.05,0.03,3,1
10,19,11,25,56,34,0.06,-0.09,3,1
11,15,16,60,30,24,0.07,0.02,3,2
12,16,20,59,41,14,0.07,0.04,3,3
13,10,26,60,44,12,0.08,-0.1,3,2
14,1,24,27,34,29,0.03,0.01,3,1
15,17,34,60,34,29,0.07,-0.09,3,2
16,5,30,33,30,36,0.05,-0.04,3,3
17,2,38,10,60,28,0.06,-0.1,3,3
18,2,38,10,60,28,0.06,-0.1,3,1
19,13,21,59,41,21,0.06,-0.09,3,2
20,1,24,27,34,29,0.03,0.01,3,2
21,14,22,59,45,17,0.07,-0.08,3,2
22,6,10,22,37,30,0.06,0.02,3,2
23,11,24,59,42,25,0.07,-0.05,3,2
24,19,11,25,56,34,0.06,-0.09,3,2
25,8,27,12,55,24,0.04,0.04,3,2
26,18,18,49,38,35,0.07,-0.08,3,3
27,5,30,33,30,36,0.05,-0.04,3,1
28,9,32,26,47,26,0.07,0.03,3,1
29,3,11,36,42,13,0.07,-0.07,3,1
30,10,26,60,44,12,0.08,-0.1,3,1
31,8,27,12,55,24,0.04,0.04,3,3
32,5,30,33,30,36,0.05,-0.04,3,2
33,8,27,12,55,24,0.04,0.04,3,1
34,18,18,49,38,35,0.07,-0.08,3,2
35,3,11,36,42,13,0.07,-0.07,3,3
36,10,26,60,44,12,0.08,-0.1,3,3
37,17,34,60,34,29,0.07,-0.09,3,3
38,13,21,59,41,21,0.06,-0.09,3,3
39,12,28,59,37,23,0.06,-0.08,3,2
40,9,32,26,47,26,0.07,0.03,3,3
41,14,22,59,45,17,0.07,-0.08,3,3
42,0,34,19,53,28,0.05,-0.09,3,2
43,7,15,30,35,32,0.05,-0.07,3,1
44,0,34,19,53,28,0.05,-0.09,3,3
45,15,16,60,30,24,0.07,0.02,3,3
46,13,21,59,41,21,0.06,-0.09,3,1
47,11,24,59,42,25,0.07,-0.05,3,3
48,7,15,30,35,32,0.05,-0.07,3,3
49,16,20,59,41,14,0.07,0.04,3,2
50,3,11,36,42,13,0.07,-0.07,3,2
51,7,15,30,35,32,0.05,-0.07,3,2
52,6,10,22,37,30,0.06,0.02,3,1
53,19,11,25,56,34,0.06,-0.09,3,3
54,6,10,22,37,30,0.06,0.02,3,3
55,2,38,10,60,28,0.06,-0.1,3,2
56,14,22,59,45,17,0.07,-0.08,3,1
57,4,13,41,41,38,0.05,0.03,3,3
58,9,32,26,47,26,0.07,0.03,3,2
59,17,34,60,34,29,0.07,-0.09,3,1
60,12,28,59,37,23,0.06,-0.08,3,3
